cp	hex	char	name	category	block	script	numeric_type	numeric_value	number_system	number_form	number_role	presentation	ucd_numeric	gradient_family	gradient_kind	gradient_axis	gradient_value	gradient_param	structured_family
30213	U+7605	瘅	CJK UNIFIED IDEOGRAPH-7605	Lo	CJK Unified Ideographs	Han	none						no						
30214	U+7606	瘆	CJK UNIFIED IDEOGRAPH-7606	Lo	CJK Unified Ideographs	Han	none						no						
30215	U+7607	瘇	CJK UNIFIED IDEOGRAPH-7607	Lo	CJK Unified Ideographs	Han	none						no						
30216	U+7608	瘈	CJK UNIFIED IDEOGRAPH-7608	Lo	CJK Unified Ideographs	Han	none						no						
30217	U+7609	瘉	CJK UNIFIED IDEOGRAPH-7609	Lo	CJK Unified Ideographs	Han	none						no						
30218	U+760A	瘊	CJK UNIFIED IDEOGRAPH-760A	Lo	CJK Unified Ideographs	Han	none						no						
30219	U+760B	瘋	CJK UNIFIED IDEOGRAPH-760B	Lo	CJK Unified Ideographs	Han	none						no						
30220	U+760C	瘌	CJK UNIFIED IDEOGRAPH-760C	Lo	CJK Unified Ideographs	Han	none						no						
30221	U+760D	瘍	CJK UNIFIED IDEOGRAPH-760D	Lo	CJK Unified Ideographs	Han	none						no						
30222	U+760E	瘎	CJK UNIFIED IDEOGRAPH-760E	Lo	CJK Unified Ideographs	Han	none						no						
30223	U+760F	瘏	CJK UNIFIED IDEOGRAPH-760F	Lo	CJK Unified Ideographs	Han	none						no						
30224	U+7610	瘐	CJK UNIFIED IDEOGRAPH-7610	Lo	CJK Unified Ideographs	Han	none						no						
30225	U+7611	瘑	CJK UNIFIED IDEOGRAPH-7611	Lo	CJK Unified Ideographs	Han	none						no						
30226	U+7612	瘒	CJK UNIFIED IDEOGRAPH-7612	Lo	CJK Unified Ideographs	Han	none						no						
30227	U+7613	瘓	CJK UNIFIED IDEOGRAPH-7613	Lo	CJK Unified Ideographs	Han	none						no						
30228	U+7614	瘔	CJK UNIFIED IDEOGRAPH-7614	Lo	CJK Unified Ideographs	Han	none						no						
30229	U+7615	瘕	CJK UNIFIED IDEOGRAPH-7615	Lo	CJK Unified Ideographs	Han	none						no						
30230	U+7616	瘖	CJK UNIFIED IDEOGRAPH-7616	Lo	CJK Unified Ideographs	Han	none						no						
30231	U+7617	瘗	CJK UNIFIED IDEOGRAPH-7617	Lo	CJK Unified Ideographs	Han	none						no						
30232	U+7618	瘘	CJK UNIFIED IDEOGRAPH-7618	Lo	CJK Unified Ideographs	Han	none						no						
30233	U+7619	瘙	CJK UNIFIED IDEOGRAPH-7619	Lo	CJK Unified Ideographs	Han	none						no						
30234	U+761A	瘚	CJK UNIFIED IDEOGRAPH-761A	Lo	CJK Unified Ideographs	Han	none						no						
30235	U+761B	瘛	CJK UNIFIED IDEOGRAPH-761B	Lo	CJK Unified Ideographs	Han	none						no						
30236	U+761C	瘜	CJK UNIFIED IDEOGRAPH-761C	Lo	CJK Unified Ideographs	Han	none						no						
30237	U+761D	瘝	CJK UNIFIED IDEOGRAPH-761D	Lo	CJK Unified Ideographs	Han	none						no						
30238	U+761E	瘞	CJK UNIFIED IDEOGRAPH-761E	Lo	CJK Unified Ideographs	Han	none						no						
30239	U+761F	瘟	CJK UNIFIED IDEOGRAPH-761F	Lo	CJK Unified Ideographs	Han	none						no						
30240	U+7620	瘠	CJK UNIFIED IDEOGRAPH-7620	Lo	CJK Unified Ideographs	Han	none						no						
30241	U+7621	瘡	CJK UNIFIED IDEOGRAPH-7621	Lo	CJK Unified Ideographs	Han	none						no						
30242	U+7622	瘢	CJK UNIFIED IDEOGRAPH-7622	Lo	CJK Unified Ideographs	Han	none						no						
30243	U+7623	瘣	CJK UNIFIED IDEOGRAPH-7623	Lo	CJK Unified Ideographs	Han	none						no						
30244	U+7624	瘤	CJK UNIFIED IDEOGRAPH-7624	Lo	CJK Unified Ideographs	Han	none						no						
30245	U+7625	瘥	CJK UNIFIED IDEOGRAPH-7625	Lo	CJK Unified Ideographs	Han	none						no						
30246	U+7626	瘦	CJK UNIFIED IDEOGRAPH-7626	Lo	CJK Unified Ideographs	Han	none						no						
30247	U+7627	瘧	CJK UNIFIED IDEOGRAPH-7627	Lo	CJK Unified Ideographs	Han	none						no						
30248	U+7628	瘨	CJK UNIFIED IDEOGRAPH-7628	Lo	CJK Unified Ideographs	Han	none						no						
30249	U+7629	瘩	CJK UNIFIED IDEOGRAPH-7629	Lo	CJK Unified Ideographs	Han	none						no						
30250	U+762A	瘪	CJK UNIFIED IDEOGRAPH-762A	Lo	CJK Unified Ideographs	Han	none						no						
30251	U+762B	瘫	CJK UNIFIED IDEOGRAPH-762B	Lo	CJK Unified Ideographs	Han	none						no						
30252	U+762C	瘬	CJK UNIFIED IDEOGRAPH-762C	Lo	CJK Unified Ideographs	Han	none						no						
30253	U+762D	瘭	CJK UNIFIED IDEOGRAPH-762D	Lo	CJK Unified Ideographs	Han	none						no						
30254	U+762E	瘮	CJK UNIFIED IDEOGRAPH-762E	Lo	CJK Unified Ideographs	Han	none						no						
30255	U+762F	瘯	CJK UNIFIED IDEOGRAPH-762F	Lo	CJK Unified Ideographs	Han	none						no						
30256	U+7630	瘰	CJK UNIFIED IDEOGRAPH-7630	Lo	CJK Unified Ideographs	Han	none						no						
30257	U+7631	瘱	CJK UNIFIED IDEOGRAPH-7631	Lo	CJK Unified Ideographs	Han	none						no						
30258	U+7632	瘲	CJK UNIFIED IDEOGRAPH-7632	Lo	CJK Unified Ideographs	Han	none						no						
30259	U+7633	瘳	CJK UNIFIED IDEOGRAPH-7633	Lo	CJK Unified Ideographs	Han	none						no						
30260	U+7634	瘴	CJK UNIFIED IDEOGRAPH-7634	Lo	CJK Unified Ideographs	Han	none						no						
30261	U+7635	瘵	CJK UNIFIED IDEOGRAPH-7635	Lo	CJK Unified Ideographs	Han	none						no						
30262	U+7636	瘶	CJK UNIFIED IDEOGRAPH-7636	Lo	CJK Unified Ideographs	Han	none						no						
30263	U+7637	瘷	CJK UNIFIED IDEOGRAPH-7637	Lo	CJK Unified Ideographs	Han	none						no						
30264	U+7638	瘸	CJK UNIFIED IDEOGRAPH-7638	Lo	CJK Unified Ideographs	Han	none						no						
30265	U+7639	瘹	CJK UNIFIED IDEOGRAPH-7639	Lo	CJK Unified Ideographs	Han	none						no						
30266	U+763A	瘺	CJK UNIFIED IDEOGRAPH-763A	Lo	CJK Unified Ideographs	Han	none						no						
30267	U+763B	瘻	CJK UNIFIED IDEOGRAPH-763B	Lo	CJK Unified Ideographs	Han	none						no						
30268	U+763C	瘼	CJK UNIFIED IDEOGRAPH-763C	Lo	CJK Unified Ideographs	Han	none						no						
30269	U+763D	瘽	CJK UNIFIED IDEOGRAPH-763D	Lo	CJK Unified Ideographs	Han	none						no						
30270	U+763E	瘾	CJK UNIFIED IDEOGRAPH-763E	Lo	CJK Unified Ideographs	Han	none						no						
30271	U+763F	瘿	CJK UNIFIED IDEOGRAPH-763F	Lo	CJK Unified Ideographs	Han	none						no						
30272	U+7640	癀	CJK UNIFIED IDEOGRAPH-7640	Lo	CJK Unified Ideographs	Han	none						no						
30273	U+7641	癁	CJK UNIFIED IDEOGRAPH-7641	Lo	CJK Unified Ideographs	Han	none						no						
30274	U+7642	療	CJK UNIFIED IDEOGRAPH-7642	Lo	CJK Unified Ideographs	Han	none						no						
30275	U+7643	癃	CJK UNIFIED IDEOGRAPH-7643	Lo	CJK Unified Ideographs	Han	none						no						
30276	U+7644	癄	CJK UNIFIED IDEOGRAPH-7644	Lo	CJK Unified Ideographs	Han	none						no						
30277	U+7645	癅	CJK UNIFIED IDEOGRAPH-7645	Lo	CJK Unified Ideographs	Han	none						no						
30278	U+7646	癆	CJK UNIFIED IDEOGRAPH-7646	Lo	CJK Unified Ideographs	Han	none						no						
30279	U+7647	癇	CJK UNIFIED IDEOGRAPH-7647	Lo	CJK Unified Ideographs	Han	none						no						
30280	U+7648	癈	CJK UNIFIED IDEOGRAPH-7648	Lo	CJK Unified Ideographs	Han	none						no						
30281	U+7649	癉	CJK UNIFIED IDEOGRAPH-7649	Lo	CJK Unified Ideographs	Han	none						no						
30282	U+764A	癊	CJK UNIFIED IDEOGRAPH-764A	Lo	CJK Unified Ideographs	Han	none						no						
30283	U+764B	癋	CJK UNIFIED IDEOGRAPH-764B	Lo	CJK Unified Ideographs	Han	none						no						
30284	U+764C	癌	CJK UNIFIED IDEOGRAPH-764C	Lo	CJK Unified Ideographs	Han	none						no						
30285	U+764D	癍	CJK UNIFIED IDEOGRAPH-764D	Lo	CJK Unified Ideographs	Han	none						no						
30286	U+764E	癎	CJK UNIFIED IDEOGRAPH-764E	Lo	CJK Unified Ideographs	Han	none						no						
30287	U+764F	癏	CJK UNIFIED IDEOGRAPH-764F	Lo	CJK Unified Ideographs	Han	none						no						
30288	U+7650	癐	CJK UNIFIED IDEOGRAPH-7650	Lo	CJK Unified Ideographs	Han	none						no						
30289	U+7651	癑	CJK UNIFIED IDEOGRAPH-7651	Lo	CJK Unified Ideographs	Han	none						no						
30290	U+7652	癒	CJK UNIFIED IDEOGRAPH-7652	Lo	CJK Unified Ideographs	Han	none						no						
30291	U+7653	癓	CJK UNIFIED IDEOGRAPH-7653	Lo	CJK Unified Ideographs	Han	none						no						
30292	U+7654	癔	CJK UNIFIED IDEOGRAPH-7654	Lo	CJK Unified Ideographs	Han	none						no						
30293	U+7655	癕	CJK UNIFIED IDEOGRAPH-7655	Lo	CJK Unified Ideographs	Han	none						no						
30294	U+7656	癖	CJK UNIFIED IDEOGRAPH-7656	Lo	CJK Unified Ideographs	Han	none						no						
30295	U+7657	癗	CJK UNIFIED IDEOGRAPH-7657	Lo	CJK Unified Ideographs	Han	none						no						
30296	U+7658	癘	CJK UNIFIED IDEOGRAPH-7658	Lo	CJK Unified Ideographs	Han	none						no						
30297	U+7659	癙	CJK UNIFIED IDEOGRAPH-7659	Lo	CJK Unified Ideographs	Han	none						no						
30298	U+765A	癚	CJK UNIFIED IDEOGRAPH-765A	Lo	CJK Unified Ideographs	Han	none						no						
30299	U+765B	癛	CJK UNIFIED IDEOGRAPH-765B	Lo	CJK Unified Ideographs	Han	none						no						
30300	U+765C	癜	CJK UNIFIED IDEOGRAPH-765C	Lo	CJK Unified Ideographs	Han	none						no						
30301	U+765D	癝	CJK UNIFIED IDEOGRAPH-765D	Lo	CJK Unified Ideographs	Han	none						no						
30302	U+765E	癞	CJK UNIFIED IDEOGRAPH-765E	Lo	CJK Unified Ideographs	Han	none						no						
30303	U+765F	癟	CJK UNIFIED IDEOGRAPH-765F	Lo	CJK Unified Ideographs	Han	none						no						
30304	U+7660	癠	CJK UNIFIED IDEOGRAPH-7660	Lo	CJK Unified Ideographs	Han	none						no						
30305	U+7661	癡	CJK UNIFIED IDEOGRAPH-7661	Lo	CJK Unified Ideographs	Han	none						no						
30306	U+7662	癢	CJK UNIFIED IDEOGRAPH-7662	Lo	CJK Unified Ideographs	Han	none						no						
30307	U+7663	癣	CJK UNIFIED IDEOGRAPH-7663	Lo	CJK Unified Ideographs	Han	none						no						
30308	U+7664	癤	CJK UNIFIED IDEOGRAPH-7664	Lo	CJK Unified Ideographs	Han	none						no						
30309	U+7665	癥	CJK UNIFIED IDEOGRAPH-7665	Lo	CJK Unified Ideographs	Han	none						no						
30310	U+7666	癦	CJK UNIFIED IDEOGRAPH-7666	Lo	CJK Unified Ideographs	Han	none						no						
30311	U+7667	癧	CJK UNIFIED IDEOGRAPH-7667	Lo	CJK Unified Ideographs	Han	none						no						
30312	U+7668	癨	CJK UNIFIED IDEOGRAPH-7668	Lo	CJK Unified Ideographs	Han	none						no						
30313	U+7669	癩	CJK UNIFIED IDEOGRAPH-7669	Lo	CJK Unified Ideographs	Han	none						no						
30314	U+766A	癪	CJK UNIFIED IDEOGRAPH-766A	Lo	CJK Unified Ideographs	Han	none						no						
30315	U+766B	癫	CJK UNIFIED IDEOGRAPH-766B	Lo	CJK Unified Ideographs	Han	none						no						
30316	U+766C	癬	CJK UNIFIED IDEOGRAPH-766C	Lo	CJK Unified Ideographs	Han	none						no						
30317	U+766D	癭	CJK UNIFIED IDEOGRAPH-766D	Lo	CJK Unified Ideographs	Han	none						no						
30318	U+766E	癮	CJK UNIFIED IDEOGRAPH-766E	Lo	CJK Unified Ideographs	Han	none						no						
30319	U+766F	癯	CJK UNIFIED IDEOGRAPH-766F	Lo	CJK Unified Ideographs	Han	none						no						
30320	U+7670	癰	CJK UNIFIED IDEOGRAPH-7670	Lo	CJK Unified Ideographs	Han	none						no						
30321	U+7671	癱	CJK UNIFIED IDEOGRAPH-7671	Lo	CJK Unified Ideographs	Han	none						no						
30322	U+7672	癲	CJK UNIFIED IDEOGRAPH-7672	Lo	CJK Unified Ideographs	Han	none						no						
30323	U+7673	癳	CJK UNIFIED IDEOGRAPH-7673	Lo	CJK Unified Ideographs	Han	none						no						
30324	U+7674	癴	CJK UNIFIED IDEOGRAPH-7674	Lo	CJK Unified Ideographs	Han	none						no						
30325	U+7675	癵	CJK UNIFIED IDEOGRAPH-7675	Lo	CJK Unified Ideographs	Han	none						no						
30326	U+7676	癶	CJK UNIFIED IDEOGRAPH-7676	Lo	CJK Unified Ideographs	Han	none						no						
30327	U+7677	癷	CJK UNIFIED IDEOGRAPH-7677	Lo	CJK Unified Ideographs	Han	none						no						
30328	U+7678	癸	CJK UNIFIED IDEOGRAPH-7678	Lo	CJK Unified Ideographs	Han	none						no						
30329	U+7679	癹	CJK UNIFIED IDEOGRAPH-7679	Lo	CJK Unified Ideographs	Han	none						no						
30330	U+767A	発	CJK UNIFIED IDEOGRAPH-767A	Lo	CJK Unified Ideographs	Han	none						no						
30331	U+767B	登	CJK UNIFIED IDEOGRAPH-767B	Lo	CJK Unified Ideographs	Han	none						no						
30332	U+767C	發	CJK UNIFIED IDEOGRAPH-767C	Lo	CJK Unified Ideographs	Han	none						no						
30333	U+767D	白	CJK UNIFIED IDEOGRAPH-767D	Lo	CJK Unified Ideographs	Han	none						no						
30334	U+767E	百	CJK UNIFIED IDEOGRAPH-767E	Lo	CJK Unified Ideographs	Han	numeric	100	cjk-ideographic	hybrid-myriad	numeral		yes						
30335	U+767F	癿	CJK UNIFIED IDEOGRAPH-767F	Lo	CJK Unified Ideographs	Han	none						no						
30336	U+7680	皀	CJK UNIFIED IDEOGRAPH-7680	Lo	CJK Unified Ideographs	Han	none						no						
30337	U+7681	皁	CJK UNIFIED IDEOGRAPH-7681	Lo	CJK Unified Ideographs	Han	none						no						
30338	U+7682	皂	CJK UNIFIED IDEOGRAPH-7682	Lo	CJK Unified Ideographs	Han	none						no						
30339	U+7683	皃	CJK UNIFIED IDEOGRAPH-7683	Lo	CJK Unified Ideographs	Han	none						no						
30340	U+7684	的	CJK UNIFIED IDEOGRAPH-7684	Lo	CJK Unified Ideographs	Han	none						no						
30341	U+7685	皅	CJK UNIFIED IDEOGRAPH-7685	Lo	CJK Unified Ideographs	Han	none						no						
30342	U+7686	皆	CJK UNIFIED IDEOGRAPH-7686	Lo	CJK Unified Ideographs	Han	none						no						
30343	U+7687	皇	CJK UNIFIED IDEOGRAPH-7687	Lo	CJK Unified Ideographs	Han	none						no						
30344	U+7688	皈	CJK UNIFIED IDEOGRAPH-7688	Lo	CJK Unified Ideographs	Han	none						no						
30345	U+7689	皉	CJK UNIFIED IDEOGRAPH-7689	Lo	CJK Unified Ideographs	Han	none						no						
30346	U+768A	皊	CJK UNIFIED IDEOGRAPH-768A	Lo	CJK Unified Ideographs	Han	none						no						
30347	U+768B	皋	CJK UNIFIED IDEOGRAPH-768B	Lo	CJK Unified Ideographs	Han	none						no						
30348	U+768C	皌	CJK UNIFIED IDEOGRAPH-768C	Lo	CJK Unified Ideographs	Han	none						no						
30349	U+768D	皍	CJK UNIFIED IDEOGRAPH-768D	Lo	CJK Unified Ideographs	Han	none						no						
30350	U+768E	皎	CJK UNIFIED IDEOGRAPH-768E	Lo	CJK Unified Ideographs	Han	none						no						
30351	U+768F	皏	CJK UNIFIED IDEOGRAPH-768F	Lo	CJK Unified Ideographs	Han	none						no						
30352	U+7690	皐	CJK UNIFIED IDEOGRAPH-7690	Lo	CJK Unified Ideographs	Han	none						no						
30353	U+7691	皑	CJK UNIFIED IDEOGRAPH-7691	Lo	CJK Unified Ideographs	Han	none						no						
30354	U+7692	皒	CJK UNIFIED IDEOGRAPH-7692	Lo	CJK Unified Ideographs	Han	none						no						
30355	U+7693	皓	CJK UNIFIED IDEOGRAPH-7693	Lo	CJK Unified Ideographs	Han	none						no						
30356	U+7694	皔	CJK UNIFIED IDEOGRAPH-7694	Lo	CJK Unified Ideographs	Han	none						no						
30357	U+7695	皕	CJK UNIFIED IDEOGRAPH-7695	Lo	CJK Unified Ideographs	Han	none						no						
30358	U+7696	皖	CJK UNIFIED IDEOGRAPH-7696	Lo	CJK Unified Ideographs	Han	none						no						
30359	U+7697	皗	CJK UNIFIED IDEOGRAPH-7697	Lo	CJK Unified Ideographs	Han	none						no						
30360	U+7698	皘	CJK UNIFIED IDEOGRAPH-7698	Lo	CJK Unified Ideographs	Han	none						no						
30361	U+7699	皙	CJK UNIFIED IDEOGRAPH-7699	Lo	CJK Unified Ideographs	Han	none						no						
30362	U+769A	皚	CJK UNIFIED IDEOGRAPH-769A	Lo	CJK Unified Ideographs	Han	none						no						
30363	U+769B	皛	CJK UNIFIED IDEOGRAPH-769B	Lo	CJK Unified Ideographs	Han	none						no						
30364	U+769C	皜	CJK UNIFIED IDEOGRAPH-769C	Lo	CJK Unified Ideographs	Han	none						no						
30365	U+769D	皝	CJK UNIFIED IDEOGRAPH-769D	Lo	CJK Unified Ideographs	Han	none						no						
30366	U+769E	皞	CJK UNIFIED IDEOGRAPH-769E	Lo	CJK Unified Ideographs	Han	none						no						
30367	U+769F	皟	CJK UNIFIED IDEOGRAPH-769F	Lo	CJK Unified Ideographs	Han	none						no						
30368	U+76A0	皠	CJK UNIFIED IDEOGRAPH-76A0	Lo	CJK Unified Ideographs	Han	none						no						
30369	U+76A1	皡	CJK UNIFIED IDEOGRAPH-76A1	Lo	CJK Unified Ideographs	Han	none						no						
30370	U+76A2	皢	CJK UNIFIED IDEOGRAPH-76A2	Lo	CJK Unified Ideographs	Han	none						no						
30371	U+76A3	皣	CJK UNIFIED IDEOGRAPH-76A3	Lo	CJK Unified Ideographs	Han	none						no						
30372	U+76A4	皤	CJK UNIFIED IDEOGRAPH-76A4	Lo	CJK Unified Ideographs	Han	none						no						
30373	U+76A5	皥	CJK UNIFIED IDEOGRAPH-76A5	Lo	CJK Unified Ideographs	Han	none						no						
30374	U+76A6	皦	CJK UNIFIED IDEOGRAPH-76A6	Lo	CJK Unified Ideographs	Han	none						no						
30375	U+76A7	皧	CJK UNIFIED IDEOGRAPH-76A7	Lo	CJK Unified Ideographs	Han	none						no						
30376	U+76A8	皨	CJK UNIFIED IDEOGRAPH-76A8	Lo	CJK Unified Ideographs	Han	none						no						
30377	U+76A9	皩	CJK UNIFIED IDEOGRAPH-76A9	Lo	CJK Unified Ideographs	Han	none						no						
30378	U+76AA	皪	CJK UNIFIED IDEOGRAPH-76AA	Lo	CJK Unified Ideographs	Han	none						no						
30379	U+76AB	皫	CJK UNIFIED IDEOGRAPH-76AB	Lo	CJK Unified Ideographs	Han	none						no						
30380	U+76AC	皬	CJK UNIFIED IDEOGRAPH-76AC	Lo	CJK Unified Ideographs	Han	none						no						
30381	U+76AD	皭	CJK UNIFIED IDEOGRAPH-76AD	Lo	CJK Unified Ideographs	Han	none						no						
30382	U+76AE	皮	CJK UNIFIED IDEOGRAPH-76AE	Lo	CJK Unified Ideographs	Han	none						no						
30383	U+76AF	皯	CJK UNIFIED IDEOGRAPH-76AF	Lo	CJK Unified Ideographs	Han	none						no						
30384	U+76B0	皰	CJK UNIFIED IDEOGRAPH-76B0	Lo	CJK Unified Ideographs	Han	none						no						
30385	U+76B1	皱	CJK UNIFIED IDEOGRAPH-76B1	Lo	CJK Unified Ideographs	Han	none						no						
30386	U+76B2	皲	CJK UNIFIED IDEOGRAPH-76B2	Lo	CJK Unified Ideographs	Han	none						no						
30387	U+76B3	皳	CJK UNIFIED IDEOGRAPH-76B3	Lo	CJK Unified Ideographs	Han	none						no						
30388	U+76B4	皴	CJK UNIFIED IDEOGRAPH-76B4	Lo	CJK Unified Ideographs	Han	none						no						
30389	U+76B5	皵	CJK UNIFIED IDEOGRAPH-76B5	Lo	CJK Unified Ideographs	Han	none						no						
30390	U+76B6	皶	CJK UNIFIED IDEOGRAPH-76B6	Lo	CJK Unified Ideographs	Han	none						no						
30391	U+76B7	皷	CJK UNIFIED IDEOGRAPH-76B7	Lo	CJK Unified Ideographs	Han	none						no						
30392	U+76B8	皸	CJK UNIFIED IDEOGRAPH-76B8	Lo	CJK Unified Ideographs	Han	none						no						
30393	U+76B9	皹	CJK UNIFIED IDEOGRAPH-76B9	Lo	CJK Unified Ideographs	Han	none						no						
30394	U+76BA	皺	CJK UNIFIED IDEOGRAPH-76BA	Lo	CJK Unified Ideographs	Han	none						no						
30395	U+76BB	皻	CJK UNIFIED IDEOGRAPH-76BB	Lo	CJK Unified Ideographs	Han	none						no						
30396	U+76BC	皼	CJK UNIFIED IDEOGRAPH-76BC	Lo	CJK Unified Ideographs	Han	none						no						
30397	U+76BD	皽	CJK UNIFIED IDEOGRAPH-76BD	Lo	CJK Unified Ideographs	Han	none						no						
30398	U+76BE	皾	CJK UNIFIED IDEOGRAPH-76BE	Lo	CJK Unified Ideographs	Han	none						no						
30399	U+76BF	皿	CJK UNIFIED IDEOGRAPH-76BF	Lo	CJK Unified Ideographs	Han	none						no						
30400	U+76C0	盀	CJK UNIFIED IDEOGRAPH-76C0	Lo	CJK Unified Ideographs	Han	none						no						
30401	U+76C1	盁	CJK UNIFIED IDEOGRAPH-76C1	Lo	CJK Unified Ideographs	Han	none						no						
30402	U+76C2	盂	CJK UNIFIED IDEOGRAPH-76C2	Lo	CJK Unified Ideographs	Han	none						no						
30403	U+76C3	盃	CJK UNIFIED IDEOGRAPH-76C3	Lo	CJK Unified Ideographs	Han	none						no						
30404	U+76C4	盄	CJK UNIFIED IDEOGRAPH-76C4	Lo	CJK Unified Ideographs	Han	none						no						
30405	U+76C5	盅	CJK UNIFIED IDEOGRAPH-76C5	Lo	CJK Unified Ideographs	Han	none						no						
30406	U+76C6	盆	CJK UNIFIED IDEOGRAPH-76C6	Lo	CJK Unified Ideographs	Han	none						no						
30407	U+76C7	盇	CJK UNIFIED IDEOGRAPH-76C7	Lo	CJK Unified Ideographs	Han	none						no						
30408	U+76C8	盈	CJK UNIFIED IDEOGRAPH-76C8	Lo	CJK Unified Ideographs	Han	none						no						
30409	U+76C9	盉	CJK UNIFIED IDEOGRAPH-76C9	Lo	CJK Unified Ideographs	Han	none						no						
30410	U+76CA	益	CJK UNIFIED IDEOGRAPH-76CA	Lo	CJK Unified Ideographs	Han	none						no						
30411	U+76CB	盋	CJK UNIFIED IDEOGRAPH-76CB	Lo	CJK Unified Ideographs	Han	none						no						
30412	U+76CC	盌	CJK UNIFIED IDEOGRAPH-76CC	Lo	CJK Unified Ideographs	Han	none						no						
30413	U+76CD	盍	CJK UNIFIED IDEOGRAPH-76CD	Lo	CJK Unified Ideographs	Han	none						no						
30414	U+76CE	盎	CJK UNIFIED IDEOGRAPH-76CE	Lo	CJK Unified Ideographs	Han	none						no						
30415	U+76CF	盏	CJK UNIFIED IDEOGRAPH-76CF	Lo	CJK Unified Ideographs	Han	none						no						
30416	U+76D0	盐	CJK UNIFIED IDEOGRAPH-76D0	Lo	CJK Unified Ideographs	Han	none						no						
30417	U+76D1	监	CJK UNIFIED IDEOGRAPH-76D1	Lo	CJK Unified Ideographs	Han	none						no						
30418	U+76D2	盒	CJK UNIFIED IDEOGRAPH-76D2	Lo	CJK Unified Ideographs	Han	none						no						
30419	U+76D3	盓	CJK UNIFIED IDEOGRAPH-76D3	Lo	CJK Unified Ideographs	Han	none						no						
30420	U+76D4	盔	CJK UNIFIED IDEOGRAPH-76D4	Lo	CJK Unified Ideographs	Han	none						no						
30421	U+76D5	盕	CJK UNIFIED IDEOGRAPH-76D5	Lo	CJK Unified Ideographs	Han	none						no						
30422	U+76D6	盖	CJK UNIFIED IDEOGRAPH-76D6	Lo	CJK Unified Ideographs	Han	none						no						
30423	U+76D7	盗	CJK UNIFIED IDEOGRAPH-76D7	Lo	CJK Unified Ideographs	Han	none						no						
30424	U+76D8	盘	CJK UNIFIED IDEOGRAPH-76D8	Lo	CJK Unified Ideographs	Han	none						no						
30425	U+76D9	盙	CJK UNIFIED IDEOGRAPH-76D9	Lo	CJK Unified Ideographs	Han	none						no						
30426	U+76DA	盚	CJK UNIFIED IDEOGRAPH-76DA	Lo	CJK Unified Ideographs	Han	none						no						
30427	U+76DB	盛	CJK UNIFIED IDEOGRAPH-76DB	Lo	CJK Unified Ideographs	Han	none						no						
30428	U+76DC	盜	CJK UNIFIED IDEOGRAPH-76DC	Lo	CJK Unified Ideographs	Han	none						no						
30429	U+76DD	盝	CJK UNIFIED IDEOGRAPH-76DD	Lo	CJK Unified Ideographs	Han	none						no						
30430	U+76DE	盞	CJK UNIFIED IDEOGRAPH-76DE	Lo	CJK Unified Ideographs	Han	none						no						
30431	U+76DF	盟	CJK UNIFIED IDEOGRAPH-76DF	Lo	CJK Unified Ideographs	Han	none						no						
30432	U+76E0	盠	CJK UNIFIED IDEOGRAPH-76E0	Lo	CJK Unified Ideographs	Han	none						no						
30433	U+76E1	盡	CJK UNIFIED IDEOGRAPH-76E1	Lo	CJK Unified Ideographs	Han	none						no						
30434	U+76E2	盢	CJK UNIFIED IDEOGRAPH-76E2	Lo	CJK Unified Ideographs	Han	none						no						
30435	U+76E3	監	CJK UNIFIED IDEOGRAPH-76E3	Lo	CJK Unified Ideographs	Han	none						no						
30436	U+76E4	盤	CJK UNIFIED IDEOGRAPH-76E4	Lo	CJK Unified Ideographs	Han	none						no						
30437	U+76E5	盥	CJK UNIFIED IDEOGRAPH-76E5	Lo	CJK Unified Ideographs	Han	none						no						
30438	U+76E6	盦	CJK UNIFIED IDEOGRAPH-76E6	Lo	CJK Unified Ideographs	Han	none						no						
30439	U+76E7	盧	CJK UNIFIED IDEOGRAPH-76E7	Lo	CJK Unified Ideographs	Han	none						no						
30440	U+76E8	盨	CJK UNIFIED IDEOGRAPH-76E8	Lo	CJK Unified Ideographs	Han	none						no						
30441	U+76E9	盩	CJK UNIFIED IDEOGRAPH-76E9	Lo	CJK Unified Ideographs	Han	none						no						
30442	U+76EA	盪	CJK UNIFIED IDEOGRAPH-76EA	Lo	CJK Unified Ideographs	Han	none						no						
30443	U+76EB	盫	CJK UNIFIED IDEOGRAPH-76EB	Lo	CJK Unified Ideographs	Han	none						no						
30444	U+76EC	盬	CJK UNIFIED IDEOGRAPH-76EC	Lo	CJK Unified Ideographs	Han	none						no						
30445	U+76ED	盭	CJK UNIFIED IDEOGRAPH-76ED	Lo	CJK Unified Ideographs	Han	none						no						
30446	U+76EE	目	CJK UNIFIED IDEOGRAPH-76EE	Lo	CJK Unified Ideographs	Han	none						no						
30447	U+76EF	盯	CJK UNIFIED IDEOGRAPH-76EF	Lo	CJK Unified Ideographs	Han	none						no						
30448	U+76F0	盰	CJK UNIFIED IDEOGRAPH-76F0	Lo	CJK Unified Ideographs	Han	none						no						
30449	U+76F1	盱	CJK UNIFIED IDEOGRAPH-76F1	Lo	CJK Unified Ideographs	Han	none						no						
30450	U+76F2	盲	CJK UNIFIED IDEOGRAPH-76F2	Lo	CJK Unified Ideographs	Han	none						no						
30451	U+76F3	盳	CJK UNIFIED IDEOGRAPH-76F3	Lo	CJK Unified Ideographs	Han	none						no						
