cp	hex	char	utf8_bytes	o200k_base_n	o200k_base_ids	o200k_base_rt	o200k_base_bucket	o200k_harmony_n	o200k_harmony_ids	o200k_harmony_rt	o200k_harmony_bucket	cl100k_base_n	cl100k_base_ids	cl100k_base_rt	cl100k_base_bucket	r50k_base_n	r50k_base_ids	r50k_base_rt	r50k_base_bucket	llama32_n	llama32_ids	llama32_rt	llama32_bucket	claude_xenova_n	claude_xenova_ids	claude_xenova_rt	claude_xenova_bucket
4656	U+1230	ሰ	3	2	57048,108	yes	byte-ish	2	57048,108	yes	byte-ish	3	157,230,108	yes	byte-ish	3	157,230,108	yes	byte-ish	4	128000,157,230,108	yes	fragmented	3	162,235,113	yes	byte-ish
4657	U+1231	ሱ	3	2	57048,109	yes	byte-ish	2	57048,109	yes	byte-ish	3	157,230,109	yes	byte-ish	3	157,230,109	yes	byte-ish	4	128000,157,230,109	yes	fragmented	3	162,235,114	yes	byte-ish
4658	U+1232	ሲ	3	2	57048,110	yes	byte-ish	2	57048,110	yes	byte-ish	3	157,230,110	yes	byte-ish	3	157,230,110	yes	byte-ish	4	128000,157,230,110	yes	fragmented	3	162,235,115	yes	byte-ish
4659	U+1233	ሳ	3	2	57048,111	yes	byte-ish	2	57048,111	yes	byte-ish	3	157,230,111	yes	byte-ish	3	157,230,111	yes	byte-ish	4	128000,157,230,111	yes	fragmented	3	162,235,116	yes	byte-ish
4660	U+1234	ሴ	3	2	57048,112	yes	byte-ish	2	57048,112	yes	byte-ish	3	157,230,112	yes	byte-ish	3	157,230,112	yes	byte-ish	4	128000,157,230,112	yes	fragmented	3	162,235,117	yes	byte-ish
4661	U+1235	ስ	3	2	57048,113	yes	byte-ish	2	57048,113	yes	byte-ish	3	157,230,113	yes	byte-ish	3	157,230,113	yes	byte-ish	4	128000,157,230,113	yes	fragmented	3	162,235,118	yes	byte-ish
4662	U+1236	ሶ	3	2	57048,114	yes	byte-ish	2	57048,114	yes	byte-ish	3	157,230,114	yes	byte-ish	3	157,230,114	yes	byte-ish	4	128000,157,230,114	yes	fragmented	3	162,235,119	yes	byte-ish
4663	U+1237	ሷ	3	2	57048,115	yes	byte-ish	2	57048,115	yes	byte-ish	3	157,230,115	yes	byte-ish	3	157,230,115	yes	byte-ish	4	128000,157,230,115	yes	fragmented	3	162,235,120	yes	byte-ish
4664	U+1238	ሸ	3	2	57048,116	yes	byte-ish	2	57048,116	yes	byte-ish	3	157,230,116	yes	byte-ish	3	157,230,116	yes	byte-ish	4	128000,157,230,116	yes	fragmented	3	162,235,121	yes	byte-ish
4665	U+1239	ሹ	3	2	57048,117	yes	byte-ish	2	57048,117	yes	byte-ish	3	157,230,117	yes	byte-ish	3	157,230,117	yes	byte-ish	4	128000,157,230,117	yes	fragmented	3	162,235,122	yes	byte-ish
4666	U+123A	ሺ	3	2	57048,118	yes	byte-ish	2	57048,118	yes	byte-ish	3	157,230,118	yes	byte-ish	3	157,230,118	yes	byte-ish	4	128000,157,230,118	yes	fragmented	3	162,235,123	yes	byte-ish
4667	U+123B	ሻ	3	2	57048,119	yes	byte-ish	2	57048,119	yes	byte-ish	3	157,230,119	yes	byte-ish	3	157,230,119	yes	byte-ish	4	128000,157,230,119	yes	fragmented	3	162,235,124	yes	byte-ish
4668	U+123C	ሼ	3	2	57048,120	yes	byte-ish	2	57048,120	yes	byte-ish	3	157,230,120	yes	byte-ish	3	157,230,120	yes	byte-ish	4	128000,157,230,120	yes	fragmented	3	162,235,125	yes	byte-ish
4669	U+123D	ሽ	3	2	57048,121	yes	byte-ish	2	57048,121	yes	byte-ish	3	157,230,121	yes	byte-ish	3	157,230,121	yes	byte-ish	4	128000,157,230,121	yes	fragmented	3	162,235,126	yes	byte-ish
4670	U+123E	ሾ	3	2	57048,122	yes	byte-ish	2	57048,122	yes	byte-ish	3	157,230,122	yes	byte-ish	3	157,230,122	yes	byte-ish	4	128000,157,230,122	yes	fragmented	3	162,235,127	yes	byte-ish
4671	U+123F	ሿ	3	2	57048,123	yes	byte-ish	2	57048,123	yes	byte-ish	3	157,230,123	yes	byte-ish	3	157,230,123	yes	byte-ish	4	128000,157,230,123	yes	fragmented	3	162,235,128	yes	byte-ish
4672	U+1240	ቀ	3	2	79596,222	yes	byte-ish	2	79596,222	yes	byte-ish	3	157,231,222	yes	byte-ish	3	157,231,222	yes	byte-ish	4	128000,157,231,222	yes	fragmented	3	162,236,227	yes	byte-ish
4673	U+1241	ቁ	3	2	79596,223	yes	byte-ish	2	79596,223	yes	byte-ish	3	157,231,223	yes	byte-ish	3	157,231,223	yes	byte-ish	4	128000,157,231,223	yes	fragmented	3	162,236,228	yes	byte-ish
4674	U+1242	ቂ	3	2	79596,224	yes	byte-ish	2	79596,224	yes	byte-ish	3	157,231,224	yes	byte-ish	3	157,231,224	yes	byte-ish	4	128000,157,231,224	yes	fragmented	3	162,236,229	yes	byte-ish
4675	U+1243	ቃ	3	2	79596,225	yes	byte-ish	2	79596,225	yes	byte-ish	3	157,231,225	yes	byte-ish	3	157,231,225	yes	byte-ish	4	128000,157,231,225	yes	fragmented	3	162,236,230	yes	byte-ish
4676	U+1244	ቄ	3	2	79596,226	yes	byte-ish	2	79596,226	yes	byte-ish	3	157,231,226	yes	byte-ish	3	157,231,226	yes	byte-ish	4	128000,157,231,226	yes	fragmented	3	162,236,231	yes	byte-ish
4677	U+1245	ቅ	3	2	79596,227	yes	byte-ish	2	79596,227	yes	byte-ish	3	157,231,227	yes	byte-ish	3	157,231,227	yes	byte-ish	4	128000,157,231,227	yes	fragmented	3	162,236,232	yes	byte-ish
4678	U+1246	ቆ	3	2	79596,228	yes	byte-ish	2	79596,228	yes	byte-ish	3	157,231,228	yes	byte-ish	3	157,231,228	yes	byte-ish	4	128000,157,231,228	yes	fragmented	3	162,236,233	yes	byte-ish
4679	U+1247	ቇ	3	2	79596,229	yes	byte-ish	2	79596,229	yes	byte-ish	3	157,231,229	yes	byte-ish	3	157,231,229	yes	byte-ish	4	128000,157,231,229	yes	fragmented	3	162,236,234	yes	byte-ish
4680	U+1248	ቈ	3	2	79596,230	yes	byte-ish	2	79596,230	yes	byte-ish	3	157,231,230	yes	byte-ish	3	157,231,230	yes	byte-ish	4	128000,157,231,230	yes	fragmented	3	162,236,235	yes	byte-ish
4682	U+124A	ቊ	3	2	79596,232	yes	byte-ish	2	79596,232	yes	byte-ish	3	157,231,232	yes	byte-ish	3	157,231,232	yes	byte-ish	4	128000,157,231,232	yes	fragmented	3	162,236,237	yes	byte-ish
4683	U+124B	ቋ	3	2	79596,233	yes	byte-ish	2	79596,233	yes	byte-ish	3	157,231,233	yes	byte-ish	3	157,231,233	yes	byte-ish	4	128000,157,231,233	yes	fragmented	3	162,236,238	yes	byte-ish
4684	U+124C	ቌ	3	2	79596,234	yes	byte-ish	2	79596,234	yes	byte-ish	3	157,231,234	yes	byte-ish	3	157,231,234	yes	byte-ish	4	128000,157,231,234	yes	fragmented	3	162,236,239	yes	byte-ish
4685	U+124D	ቍ	3	2	79596,235	yes	byte-ish	2	79596,235	yes	byte-ish	3	157,231,235	yes	byte-ish	3	157,231,235	yes	byte-ish	4	128000,157,231,235	yes	fragmented	3	162,236,240	yes	byte-ish
4688	U+1250	ቐ	3	2	79596,238	yes	byte-ish	2	79596,238	yes	byte-ish	3	157,231,238	yes	byte-ish	3	157,231,238	yes	byte-ish	4	128000,157,231,238	yes	fragmented	3	162,236,243	yes	byte-ish
4689	U+1251	ቑ	3	2	79596,239	yes	byte-ish	2	79596,239	yes	byte-ish	3	157,231,239	yes	byte-ish	3	157,231,239	yes	byte-ish	4	128000,157,231,239	yes	fragmented	3	162,236,244	yes	byte-ish
4690	U+1252	ቒ	3	2	79596,240	yes	byte-ish	2	79596,240	yes	byte-ish	3	157,231,240	yes	byte-ish	3	157,231,240	yes	byte-ish	4	128000,157,231,240	yes	fragmented	3	162,236,245	yes	byte-ish
4691	U+1253	ቓ	3	2	79596,241	yes	byte-ish	2	79596,241	yes	byte-ish	3	157,231,241	yes	byte-ish	3	157,231,241	yes	byte-ish	4	128000,157,231,241	yes	fragmented	3	162,236,246	yes	byte-ish
4692	U+1254	ቔ	3	2	79596,242	yes	byte-ish	2	79596,242	yes	byte-ish	3	157,231,242	yes	byte-ish	3	157,231,242	yes	byte-ish	4	128000,157,231,242	yes	fragmented	3	162,236,247	yes	byte-ish
4693	U+1255	ቕ	3	2	79596,243	yes	byte-ish	2	79596,243	yes	byte-ish	3	157,231,243	yes	byte-ish	3	157,231,243	yes	byte-ish	4	128000,157,231,243	yes	fragmented	3	162,236,248	yes	byte-ish
4694	U+1256	ቖ	3	2	79596,244	yes	byte-ish	2	79596,244	yes	byte-ish	3	157,231,244	yes	byte-ish	3	157,231,244	yes	byte-ish	4	128000,157,231,244	yes	fragmented	3	162,236,249	yes	byte-ish
4696	U+1258	ቘ	3	2	79596,246	yes	byte-ish	2	79596,246	yes	byte-ish	3	157,231,246	yes	byte-ish	3	157,231,246	yes	byte-ish	4	128000,157,231,246	yes	fragmented	3	162,236,251	yes	byte-ish
4698	U+125A	ቚ	3	2	79596,248	yes	byte-ish	2	79596,248	yes	byte-ish	3	157,231,248	yes	byte-ish	3	157,231,248	yes	byte-ish	4	128000,157,231,248	yes	fragmented	3	162,236,253	yes	byte-ish
4699	U+125B	ቛ	3	2	79596,249	yes	byte-ish	2	79596,249	yes	byte-ish	3	157,231,249	yes	byte-ish	3	157,231,249	yes	byte-ish	4	128000,157,231,249	yes	fragmented	3	162,236,254	yes	byte-ish
4700	U+125C	ቜ	3	2	79596,250	yes	byte-ish	2	79596,250	yes	byte-ish	3	157,231,250	yes	byte-ish	3	157,231,250	yes	byte-ish	4	128000,157,231,250	yes	fragmented	3	162,236,255	yes	byte-ish
4701	U+125D	ቝ	3	2	79596,251	yes	byte-ish	2	79596,251	yes	byte-ish	3	157,231,251	yes	byte-ish	3	157,231,251	yes	byte-ish	4	128000,157,231,251	yes	fragmented	3	162,236,256	yes	byte-ish
4704	U+1260	በ	3	2	79596,254	yes	byte-ish	2	79596,254	yes	byte-ish	3	157,231,254	yes	byte-ish	3	157,231,254	yes	byte-ish	4	128000,157,231,254	yes	fragmented	3	162,236,259	yes	byte-ish
4705	U+1261	ቡ	3	2	79596,94	yes	byte-ish	2	79596,94	yes	byte-ish	3	157,231,94	yes	byte-ish	3	157,231,94	yes	byte-ish	4	128000,157,231,94	yes	fragmented	3	162,236,99	yes	byte-ish
4706	U+1262	ቢ	3	2	79596,95	yes	byte-ish	2	79596,95	yes	byte-ish	3	157,231,95	yes	byte-ish	3	157,231,95	yes	byte-ish	4	128000,157,231,95	yes	fragmented	3	162,236,100	yes	byte-ish
4707	U+1263	ባ	3	2	79596,96	yes	byte-ish	2	79596,96	yes	byte-ish	3	157,231,96	yes	byte-ish	3	157,231,96	yes	byte-ish	4	128000,157,231,96	yes	fragmented	3	162,236,101	yes	byte-ish
4708	U+1264	ቤ	3	2	79596,97	yes	byte-ish	2	79596,97	yes	byte-ish	3	157,231,97	yes	byte-ish	3	157,231,97	yes	byte-ish	4	128000,157,231,97	yes	fragmented	3	162,236,102	yes	byte-ish
4709	U+1265	ብ	3	2	79596,98	yes	byte-ish	2	79596,98	yes	byte-ish	3	157,231,98	yes	byte-ish	3	157,231,98	yes	byte-ish	4	128000,157,231,98	yes	fragmented	3	162,236,103	yes	byte-ish
4710	U+1266	ቦ	3	2	79596,99	yes	byte-ish	2	79596,99	yes	byte-ish	3	157,231,99	yes	byte-ish	3	157,231,99	yes	byte-ish	4	128000,157,231,99	yes	fragmented	3	162,236,104	yes	byte-ish
4711	U+1267	ቧ	3	2	79596,100	yes	byte-ish	2	79596,100	yes	byte-ish	3	157,231,100	yes	byte-ish	3	157,231,100	yes	byte-ish	4	128000,157,231,100	yes	fragmented	3	162,236,105	yes	byte-ish
4712	U+1268	ቨ	3	2	79596,101	yes	byte-ish	2	79596,101	yes	byte-ish	3	157,231,101	yes	byte-ish	3	157,231,101	yes	byte-ish	4	128000,157,231,101	yes	fragmented	3	162,236,106	yes	byte-ish
4713	U+1269	ቩ	3	2	79596,102	yes	byte-ish	2	79596,102	yes	byte-ish	3	157,231,102	yes	byte-ish	3	157,231,102	yes	byte-ish	4	128000,157,231,102	yes	fragmented	3	162,236,107	yes	byte-ish
4714	U+126A	ቪ	3	2	79596,103	yes	byte-ish	2	79596,103	yes	byte-ish	3	157,231,103	yes	byte-ish	3	157,231,103	yes	byte-ish	4	128000,157,231,103	yes	fragmented	3	162,236,108	yes	byte-ish
4715	U+126B	ቫ	3	2	79596,104	yes	byte-ish	2	79596,104	yes	byte-ish	3	157,231,104	yes	byte-ish	3	157,231,104	yes	byte-ish	4	128000,157,231,104	yes	fragmented	3	162,236,109	yes	byte-ish
4716	U+126C	ቬ	3	2	79596,105	yes	byte-ish	2	79596,105	yes	byte-ish	3	157,231,105	yes	byte-ish	3	157,231,105	yes	byte-ish	4	128000,157,231,105	yes	fragmented	3	162,236,110	yes	byte-ish
4717	U+126D	ቭ	3	2	79596,255	yes	byte-ish	2	79596,255	yes	byte-ish	3	157,231,255	yes	byte-ish	3	157,231,255	yes	byte-ish	4	128000,157,231,255	yes	fragmented	3	162,236,260	yes	byte-ish
4718	U+126E	ቮ	3	2	79596,106	yes	byte-ish	2	79596,106	yes	byte-ish	3	157,231,106	yes	byte-ish	3	157,231,106	yes	byte-ish	4	128000,157,231,106	yes	fragmented	3	162,236,111	yes	byte-ish
4719	U+126F	ቯ	3	2	79596,107	yes	byte-ish	2	79596,107	yes	byte-ish	3	157,231,107	yes	byte-ish	3	157,231,107	yes	byte-ish	4	128000,157,231,107	yes	fragmented	3	162,236,112	yes	byte-ish
4720	U+1270	ተ	3	2	79596,108	yes	byte-ish	2	79596,108	yes	byte-ish	3	157,231,108	yes	byte-ish	3	157,231,108	yes	byte-ish	4	128000,157,231,108	yes	fragmented	3	162,236,113	yes	byte-ish
4721	U+1271	ቱ	3	2	79596,109	yes	byte-ish	2	79596,109	yes	byte-ish	3	157,231,109	yes	byte-ish	3	157,231,109	yes	byte-ish	4	128000,157,231,109	yes	fragmented	3	162,236,114	yes	byte-ish
4722	U+1272	ቲ	3	2	79596,110	yes	byte-ish	2	79596,110	yes	byte-ish	3	157,231,110	yes	byte-ish	3	157,231,110	yes	byte-ish	4	128000,157,231,110	yes	fragmented	3	162,236,115	yes	byte-ish
4723	U+1273	ታ	3	2	79596,111	yes	byte-ish	2	79596,111	yes	byte-ish	3	157,231,111	yes	byte-ish	3	157,231,111	yes	byte-ish	4	128000,157,231,111	yes	fragmented	3	162,236,116	yes	byte-ish
4724	U+1274	ቴ	3	2	157,28911	yes	byte-ish	2	157,28911	yes	byte-ish	3	157,231,112	yes	byte-ish	3	157,231,112	yes	byte-ish	3	128000,157,104258	yes	byte-ish	3	162,236,117	yes	byte-ish
4725	U+1275	ት	3	2	79596,113	yes	byte-ish	2	79596,113	yes	byte-ish	3	157,231,113	yes	byte-ish	3	157,231,113	yes	byte-ish	4	128000,157,231,113	yes	fragmented	3	162,236,118	yes	byte-ish
4726	U+1276	ቶ	3	2	79596,114	yes	byte-ish	2	79596,114	yes	byte-ish	3	157,231,114	yes	byte-ish	3	157,231,114	yes	byte-ish	4	128000,157,231,114	yes	fragmented	3	162,236,119	yes	byte-ish
4727	U+1277	ቷ	3	2	79596,115	yes	byte-ish	2	79596,115	yes	byte-ish	3	157,231,115	yes	byte-ish	3	157,231,115	yes	byte-ish	4	128000,157,231,115	yes	fragmented	3	162,236,120	yes	byte-ish
4728	U+1278	ቸ	3	2	79596,116	yes	byte-ish	2	79596,116	yes	byte-ish	3	157,231,116	yes	byte-ish	3	157,231,116	yes	byte-ish	4	128000,157,231,116	yes	fragmented	3	162,236,121	yes	byte-ish
4729	U+1279	ቹ	3	2	79596,117	yes	byte-ish	2	79596,117	yes	byte-ish	3	157,231,117	yes	byte-ish	3	157,231,117	yes	byte-ish	4	128000,157,231,117	yes	fragmented	3	162,236,122	yes	byte-ish
4730	U+127A	ቺ	3	2	79596,118	yes	byte-ish	2	79596,118	yes	byte-ish	3	157,231,118	yes	byte-ish	3	157,231,118	yes	byte-ish	4	128000,157,231,118	yes	fragmented	3	162,236,123	yes	byte-ish
4731	U+127B	ቻ	3	2	79596,119	yes	byte-ish	2	79596,119	yes	byte-ish	3	157,231,119	yes	byte-ish	3	157,231,119	yes	byte-ish	4	128000,157,231,119	yes	fragmented	3	162,236,124	yes	byte-ish
4732	U+127C	ቼ	3	2	79596,120	yes	byte-ish	2	79596,120	yes	byte-ish	3	157,231,120	yes	byte-ish	3	157,231,120	yes	byte-ish	4	128000,157,231,120	yes	fragmented	3	162,236,125	yes	byte-ish
4733	U+127D	ች	3	2	79596,121	yes	byte-ish	2	79596,121	yes	byte-ish	3	157,231,121	yes	byte-ish	3	157,231,121	yes	byte-ish	4	128000,157,231,121	yes	fragmented	3	162,236,126	yes	byte-ish
4734	U+127E	ቾ	3	2	79596,122	yes	byte-ish	2	79596,122	yes	byte-ish	3	157,231,122	yes	byte-ish	3	157,231,122	yes	byte-ish	4	128000,157,231,122	yes	fragmented	3	162,236,127	yes	byte-ish
4735	U+127F	ቿ	3	2	79596,123	yes	byte-ish	2	79596,123	yes	byte-ish	3	157,231,123	yes	byte-ish	3	157,231,123	yes	byte-ish	4	128000,157,231,123	yes	fragmented	3	162,236,128	yes	byte-ish
4736	U+1280	ኀ	3	2	74708,222	yes	byte-ish	2	74708,222	yes	byte-ish	3	157,232,222	yes	byte-ish	3	157,232,222	yes	byte-ish	4	128000,157,232,222	yes	fragmented	3	162,237,227	yes	byte-ish
4737	U+1281	ኁ	3	2	74708,223	yes	byte-ish	2	74708,223	yes	byte-ish	3	157,232,223	yes	byte-ish	3	157,232,223	yes	byte-ish	4	128000,157,232,223	yes	fragmented	3	162,237,228	yes	byte-ish
4738	U+1282	ኂ	3	2	74708,224	yes	byte-ish	2	74708,224	yes	byte-ish	3	157,232,224	yes	byte-ish	3	157,232,224	yes	byte-ish	4	128000,157,232,224	yes	fragmented	3	162,237,229	yes	byte-ish
4739	U+1283	ኃ	3	2	74708,225	yes	byte-ish	2	74708,225	yes	byte-ish	3	157,232,225	yes	byte-ish	3	157,232,225	yes	byte-ish	4	128000,157,232,225	yes	fragmented	3	162,237,230	yes	byte-ish
4740	U+1284	ኄ	3	2	74708,226	yes	byte-ish	2	74708,226	yes	byte-ish	3	157,232,226	yes	byte-ish	3	157,232,226	yes	byte-ish	4	128000,157,232,226	yes	fragmented	3	162,237,231	yes	byte-ish
4741	U+1285	ኅ	3	2	74708,227	yes	byte-ish	2	74708,227	yes	byte-ish	3	157,232,227	yes	byte-ish	3	157,232,227	yes	byte-ish	4	128000,157,232,227	yes	fragmented	3	162,237,232	yes	byte-ish
4742	U+1286	ኆ	3	2	74708,228	yes	byte-ish	2	74708,228	yes	byte-ish	3	157,232,228	yes	byte-ish	3	157,232,228	yes	byte-ish	4	128000,157,232,228	yes	fragmented	3	162,237,233	yes	byte-ish
4743	U+1287	ኇ	3	2	74708,229	yes	byte-ish	2	74708,229	yes	byte-ish	3	157,232,229	yes	byte-ish	3	157,232,229	yes	byte-ish	4	128000,157,232,229	yes	fragmented	3	162,237,234	yes	byte-ish
4744	U+1288	ኈ	3	2	74708,230	yes	byte-ish	2	74708,230	yes	byte-ish	3	157,232,230	yes	byte-ish	3	157,232,230	yes	byte-ish	4	128000,157,232,230	yes	fragmented	3	162,237,235	yes	byte-ish
4746	U+128A	ኊ	3	2	74708,232	yes	byte-ish	2	74708,232	yes	byte-ish	3	157,232,232	yes	byte-ish	3	157,232,232	yes	byte-ish	4	128000,157,232,232	yes	fragmented	3	162,237,237	yes	byte-ish
4747	U+128B	ኋ	3	2	74708,233	yes	byte-ish	2	74708,233	yes	byte-ish	3	157,232,233	yes	byte-ish	3	157,232,233	yes	byte-ish	4	128000,157,232,233	yes	fragmented	3	162,237,238	yes	byte-ish
4748	U+128C	ኌ	3	2	74708,234	yes	byte-ish	2	74708,234	yes	byte-ish	3	157,232,234	yes	byte-ish	3	157,232,234	yes	byte-ish	4	128000,157,232,234	yes	fragmented	3	162,237,239	yes	byte-ish
4749	U+128D	ኍ	3	2	74708,235	yes	byte-ish	2	74708,235	yes	byte-ish	3	157,232,235	yes	byte-ish	3	157,232,235	yes	byte-ish	4	128000,157,232,235	yes	fragmented	3	162,237,240	yes	byte-ish
4752	U+1290	ነ	3	2	74708,238	yes	byte-ish	2	74708,238	yes	byte-ish	3	157,232,238	yes	byte-ish	3	157,232,238	yes	byte-ish	4	128000,157,232,238	yes	fragmented	3	162,237,243	yes	byte-ish
4753	U+1291	ኑ	3	2	74708,239	yes	byte-ish	2	74708,239	yes	byte-ish	3	157,232,239	yes	byte-ish	3	157,232,239	yes	byte-ish	4	128000,157,232,239	yes	fragmented	3	162,237,244	yes	byte-ish
4754	U+1292	ኒ	3	2	74708,240	yes	byte-ish	2	74708,240	yes	byte-ish	3	157,232,240	yes	byte-ish	3	157,232,240	yes	byte-ish	4	128000,157,232,240	yes	fragmented	3	162,237,245	yes	byte-ish
4755	U+1293	ና	3	2	74708,241	yes	byte-ish	2	74708,241	yes	byte-ish	3	157,232,241	yes	byte-ish	3	157,232,241	yes	byte-ish	4	128000,157,232,241	yes	fragmented	3	162,237,246	yes	byte-ish
4756	U+1294	ኔ	3	2	74708,242	yes	byte-ish	2	74708,242	yes	byte-ish	3	157,232,242	yes	byte-ish	3	157,232,242	yes	byte-ish	4	128000,157,232,242	yes	fragmented	3	162,237,247	yes	byte-ish
4757	U+1295	ን	3	2	74708,243	yes	byte-ish	2	74708,243	yes	byte-ish	3	157,232,243	yes	byte-ish	3	157,232,243	yes	byte-ish	4	128000,157,232,243	yes	fragmented	3	162,237,248	yes	byte-ish
4758	U+1296	ኖ	3	2	74708,244	yes	byte-ish	2	74708,244	yes	byte-ish	3	157,232,244	yes	byte-ish	3	157,232,244	yes	byte-ish	4	128000,157,232,244	yes	fragmented	3	162,237,249	yes	byte-ish
4759	U+1297	ኗ	3	2	74708,245	yes	byte-ish	2	74708,245	yes	byte-ish	3	157,232,245	yes	byte-ish	3	157,232,245	yes	byte-ish	4	128000,157,232,245	yes	fragmented	3	162,237,250	yes	byte-ish
4760	U+1298	ኘ	3	2	74708,246	yes	byte-ish	2	74708,246	yes	byte-ish	3	157,232,246	yes	byte-ish	3	157,232,246	yes	byte-ish	4	128000,157,232,246	yes	fragmented	3	162,237,251	yes	byte-ish
4761	U+1299	ኙ	3	2	74708,247	yes	byte-ish	2	74708,247	yes	byte-ish	3	157,232,247	yes	byte-ish	3	157,232,247	yes	byte-ish	4	128000,157,232,247	yes	fragmented	3	162,237,252	yes	byte-ish
4762	U+129A	ኚ	3	2	74708,248	yes	byte-ish	2	74708,248	yes	byte-ish	3	157,232,248	yes	byte-ish	3	157,232,248	yes	byte-ish	4	128000,157,232,248	yes	fragmented	3	162,237,253	yes	byte-ish
4763	U+129B	ኛ	3	2	74708,249	yes	byte-ish	2	74708,249	yes	byte-ish	3	157,232,249	yes	byte-ish	3	157,232,249	yes	byte-ish	4	128000,157,232,249	yes	fragmented	3	162,237,254	yes	byte-ish
4764	U+129C	ኜ	3	2	74708,250	yes	byte-ish	2	74708,250	yes	byte-ish	3	157,232,250	yes	byte-ish	3	157,232,250	yes	byte-ish	4	128000,157,232,250	yes	fragmented	3	162,237,255	yes	byte-ish
4765	U+129D	ኝ	3	2	74708,251	yes	byte-ish	2	74708,251	yes	byte-ish	3	157,232,251	yes	byte-ish	3	157,232,251	yes	byte-ish	4	128000,157,232,251	yes	fragmented	3	162,237,256	yes	byte-ish
4766	U+129E	ኞ	3	2	74708,252	yes	byte-ish	2	74708,252	yes	byte-ish	3	157,232,252	yes	byte-ish	3	157,232,252	yes	byte-ish	4	128000,157,232,252	yes	fragmented	3	162,237,257	yes	byte-ish
4767	U+129F	ኟ	3	2	74708,253	yes	byte-ish	2	74708,253	yes	byte-ish	3	157,232,253	yes	byte-ish	3	157,232,253	yes	byte-ish	4	128000,157,232,253	yes	fragmented	3	162,237,258	yes	byte-ish
4768	U+12A0	አ	3	2	74708,254	yes	byte-ish	2	74708,254	yes	byte-ish	3	157,232,254	yes	byte-ish	3	157,232,254	yes	byte-ish	4	128000,157,232,254	yes	fragmented	3	162,237,259	yes	byte-ish
4769	U+12A1	ኡ	3	2	74708,94	yes	byte-ish	2	74708,94	yes	byte-ish	3	157,232,94	yes	byte-ish	3	157,232,94	yes	byte-ish	4	128000,157,232,94	yes	fragmented	3	162,237,99	yes	byte-ish
4770	U+12A2	ኢ	3	2	74708,95	yes	byte-ish	2	74708,95	yes	byte-ish	3	157,232,95	yes	byte-ish	3	157,232,95	yes	byte-ish	4	128000,157,232,95	yes	fragmented	3	162,237,100	yes	byte-ish
4771	U+12A3	ኣ	3	2	74708,96	yes	byte-ish	2	74708,96	yes	byte-ish	3	157,232,96	yes	byte-ish	3	157,232,96	yes	byte-ish	4	128000,157,232,96	yes	fragmented	3	162,237,101	yes	byte-ish
4772	U+12A4	ኤ	3	2	74708,97	yes	byte-ish	2	74708,97	yes	byte-ish	3	157,232,97	yes	byte-ish	3	157,232,97	yes	byte-ish	4	128000,157,232,97	yes	fragmented	3	162,237,102	yes	byte-ish
4773	U+12A5	እ	3	2	74708,98	yes	byte-ish	2	74708,98	yes	byte-ish	3	157,232,98	yes	byte-ish	3	157,232,98	yes	byte-ish	4	128000,157,232,98	yes	fragmented	3	162,237,103	yes	byte-ish
4774	U+12A6	ኦ	3	2	74708,99	yes	byte-ish	2	74708,99	yes	byte-ish	3	157,232,99	yes	byte-ish	3	157,232,99	yes	byte-ish	4	128000,157,232,99	yes	fragmented	3	162,237,104	yes	byte-ish
4775	U+12A7	ኧ	3	2	74708,100	yes	byte-ish	2	74708,100	yes	byte-ish	3	157,232,100	yes	byte-ish	3	157,232,100	yes	byte-ish	4	128000,157,232,100	yes	fragmented	3	162,237,105	yes	byte-ish
4776	U+12A8	ከ	3	2	74708,101	yes	byte-ish	2	74708,101	yes	byte-ish	3	157,232,101	yes	byte-ish	3	157,232,101	yes	byte-ish	4	128000,157,232,101	yes	fragmented	3	162,237,106	yes	byte-ish
4777	U+12A9	ኩ	3	2	74708,102	yes	byte-ish	2	74708,102	yes	byte-ish	3	157,232,102	yes	byte-ish	3	157,232,102	yes	byte-ish	4	128000,157,232,102	yes	fragmented	3	162,237,107	yes	byte-ish
4778	U+12AA	ኪ	3	2	74708,103	yes	byte-ish	2	74708,103	yes	byte-ish	3	157,232,103	yes	byte-ish	3	157,232,103	yes	byte-ish	4	128000,157,232,103	yes	fragmented	3	162,237,108	yes	byte-ish
4779	U+12AB	ካ	3	2	74708,104	yes	byte-ish	2	74708,104	yes	byte-ish	3	157,232,104	yes	byte-ish	3	157,232,104	yes	byte-ish	4	128000,157,232,104	yes	fragmented	3	162,237,109	yes	byte-ish
4780	U+12AC	ኬ	3	2	74708,105	yes	byte-ish	2	74708,105	yes	byte-ish	3	157,232,105	yes	byte-ish	3	157,232,105	yes	byte-ish	4	128000,157,232,105	yes	fragmented	3	162,237,110	yes	byte-ish
4781	U+12AD	ክ	3	2	74708,255	yes	byte-ish	2	74708,255	yes	byte-ish	3	157,232,255	yes	byte-ish	3	157,232,255	yes	byte-ish	4	128000,157,232,255	yes	fragmented	3	162,237,260	yes	byte-ish
4782	U+12AE	ኮ	3	2	74708,106	yes	byte-ish	2	74708,106	yes	byte-ish	3	157,232,106	yes	byte-ish	3	157,232,106	yes	byte-ish	4	128000,157,232,106	yes	fragmented	3	162,237,111	yes	byte-ish
